CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Country,StockCode,Description
1002.0,10013,2024-04-18,5,14.09,France,P026,Product 26
1003.0,10014,2024-08-15,6,46.38,Germany,P007,Product 7
1003.0,10014,2024-08-15,2,39.7,Germany,P013,Product 13
1003.0,10014,2024-08-15,8,42.75,United Kingdom,P004,Product 4
1003.0,10014,2024-08-15,7,46.21,Germany,P021,Product 21
1004.0,10015,2025-03-19,1,42.75,France,P004,Product 4
1004.0,10015,2025-03-19,4,51.94,France,P003,Product 3
1004.0,10015,2025-03-19,1,34.61,United Kingdom,P017,Product 17
1004.0,10016,2025-04-21,6,28.67,United Kingdom,P010,Product 10
1005.0,10017,2025-01-18,6,41.93,Germany,P030,Product 30
1005.0,10017,2025-01-18,3,8.37,United Kingdom,P005,Product 5
1005.0,10017,2025-01-18,2,10.3,France,P009,Product 9
1005.0,10017,2025-01-18,4,29.6,Germany,P027,Product 27
1005.0,10018,2025-03-25,9,28.27,United Kingdom,P015,Product 15
1005.0,10018,2025-03-25,6,28.02,Germany,P002,Product 2
1005.0,10018,2025-03-25,5,51.94,France,P003,Product 3
1005.0,10018,2025-03-25,3,47.81,France,P008,Product 8
1005.0,10019,2025-02-28,4,47.37,France,P025,Product 25
1005.0,10019,2025-02-28,1,49.9,France,P014,Product 14
1005.0,10019,2025-02-28,5,28.27,United Kingdom,P015,Product 15
1006.0,10020,2024-09-19,7,10.3,France,P009,Product 9
1006.0,10020,2024-09-19,9,42.75,France,P004,Product 4
1006.0,10020,2024-09-19,3,50.17,United Kingdom,P019,Product 19
1007.0,10021,2025-05-10,2,28.02,Germany,P002,Product 2
1008.0,10022,2024-12-27,2,11.79,France,P029,Product 29
1008.0,10022,2024-12-27,6,53.91,United Kingdom,P024,Product 24
1008.0,10023,2025-02-10,2,47.81,Germany,P008,Product 8
1008.0,10023,2025-02-10,1,14.09,United Kingdom,P026,Product 26
1008.0,10023,2025-02-10,4,41.93,France,P030,Product 30
1008.0,10024,2025-04-18,1,29.6,France,P027,Product 27
1008.0,10025,2025-03-23,7,15.95,Germany,P016,Product 16
1008.0,10025,2025-03-23,6,42.75,Germany,P004,Product 4
1008.0,10025,2025-03-23,4,46.38,France,P007,Product 7
1008.0,10025,2025-03-23,1,14.09,France,P026,Product 26
1008.0,10026,2025-03-05,9,47.81,United Kingdom,P008,Product 8
1008.0,10026,2025-03-05,1,47.12,United Kingdom,P001,Product 1
1009.0,10027,2024-07-04,1,58.61,United Kingdom,P006,Product 6
1009.0,10027,2024-07-04,3,24.14,United Kingdom,P011,Product 11
1009.0,10027,2024-07-04,9,6.64,France,P018,Product 18
1010.0,10028,2024-12-13,2,11.79,United Kingdom,P029,Product 29
1010.0,10028,2024-12-13,3,8.37,United Kingdom,P005,Product 5
1010.0,10029,2024-06-25,7,5.5,France,P028,Product 28
1010.0,10029,2024-06-25,6,10.3,Germany,P009,Product 9
1010.0,10029,2024-06-25,2,42.75,France,P004,Product 4
1011.0,10030,2025-03-25,9,49.9,United Kingdom,P014,Product 14
1011.0,10030,2025-03-25,4,42.75,France,P004,Product 4
1011.0,10030,2025-03-25,3,53.91,United Kingdom,P024,Product 24
1011.0,10031,2025-06-05,9,11.79,France,P029,Product 29
1011.0,10031,2025-06-05,5,50.17,United Kingdom,P019,Product 19
1011.0,10031,2025-06-05,6,28.67,Germany,P010,Product 10
1011.0,10032,2025-04-05,4,23.21,United Kingdom,P022,Product 22
1011.0,10032,2025-04-05,9,42.75,United Kingdom,P004,Product 4
1011.0,10032,2025-04-05,6,53.91,United Kingdom,P024,Product 24
1012.0,10033,2025-08-03,1,50.17,Germany,P019,Product 19
1012.0,10033,2025-08-03,1,53.91,United Kingdom,P024,Product 24
1012.0,10034,2025-10-14,4,49.9,Germany,P014,Product 14
1012.0,10034,2025-10-14,7,53.91,Germany,P024,Product 24
1012.0,10035,2025-11-01,4,39.7,United Kingdom,P013,Product 13
1012.0,10035,2025-11-01,6,10.3,France,P009,Product 9
1012.0,10035,2025-11-01,8,34.61,United Kingdom,P017,Product 17
1012.0,10035,2025-11-01,5,46.21,Germany,P021,Product 21
1012.0,10036,2025-07-01,8,46.38,France,P007,Product 7
1012.0,10036,2025-07-01,9,41.93,United Kingdom,P030,Product 30
1012.0,10037,2025-10-23,6,28.27,Germany,P015,Product 15
1013.0,10038,2024-05-15,9,29.6,Germany,P027,Product 27
1013.0,10038,2024-05-15,2,8.37,United Kingdom,P005,Product 5
1013.0,10039,2024-05-09,7,42.75,United Kingdom,P004,Product 4
1013.0,10039,2024-05-09,2,8.37,United Kingdom,P005,Product 5
1013.0,10039,2024-05-09,8,49.9,United Kingdom,P014,Product 14
1013.0,10040,2024-06-04,3,28.27,France,P015,Product 15
1013.0,10040,2024-06-04,5,47.37,France,P025,Product 25
1013.0,10040,2024-06-04,8,39.0,France,P020,Product 20
1013.0,10041,2024-08-19,3,28.27,United Kingdom,P015,Product 15
1013.0,10041,2024-08-19,6,28.02,Germany,P002,Product 2
1013.0,10041,2024-08-19,9,58.61,Germany,P006,Product 6
1013.0,10042,2024-05-08,4,47.12,France,P001,Product 1
1014.0,10043,2024-10-25,8,5.5,France,P028,Product 28
1014.0,10043,2024-10-25,9,28.02,United Kingdom,P002,Product 2
1014.0,10043,2024-10-25,9,51.94,United Kingdom,P003,Product 3
1014.0,10043,2024-10-25,8,55.83,Germany,P012,Product 12
1015.0,10044,2025-06-14,8,39.0,France,P020,Product 20
1015.0,10044,2025-06-14,5,53.91,France,P024,Product 24
1015.0,10044,2025-06-14,4,34.61,France,P017,Product 17
1015.0,10044,2025-06-14,6,42.75,United Kingdom,P004,Product 4
1015.0,10045,2025-04-12,4,8.37,Germany,P005,Product 5
1015.0,10046,2025-03-25,4,46.38,Germany,P007,Product 7
1015.0,10046,2025-03-25,4,6.64,France,P018,Product 18
1016.0,10047,2024-07-27,9,46.38,France,P007,Product 7
1016.0,10047,2024-07-27,5,10.3,France,P009,Product 9
1016.0,10047,2024-07-27,3,53.91,Germany,P024,Product 24
1016.0,10048,2024-09-29,7,58.33,Germany,P023,Product 23
1016.0,10048,2024-09-29,1,50.17,United Kingdom,P019,Product 19
1016.0,10048,2024-09-29,2,49.9,France,P014,Product 14
1016.0,10048,2024-09-29,1,46.38,United Kingdom,P007,Product 7
1017.0,10049,2025-03-23,6,39.0,United Kingdom,P020,Product 20
1017.0,10049,2025-03-23,5,6.64,France,P018,Product 18
1017.0,10049,2025-03-23,7,29.6,United Kingdom,P027,Product 27
1017.0,10049,2025-03-23,9,42.75,France,P004,Product 4
1017.0,10050,2024-12-18,9,24.14,United Kingdom,P011,Product 11
1017.0,10050,2024-12-18,3,34.61,France,P017,Product 17
1017.0,10050,2024-12-18,6,39.7,United Kingdom,P013,Product 13
1017.0,10050,2024-12-18,1,53.91,Germany,P024,Product 24
1017.0,10051,2025-03-08,2,58.61,Germany,P006,Product 6
1017.0,10052,2024-11-19,7,49.9,France,P014,Product 14
1017.0,10052,2024-11-19,8,46.21,Germany,P021,Product 21
1017.0,10052,2024-11-19,5,11.79,United Kingdom,P029,Product 29
1017.0,10053,2025-03-05,8,5.5,United Kingdom,P028,Product 28
1018.0,10054,2025-03-21,9,23.21,France,P022,Product 22
1018.0,10054,2025-03-21,2,39.0,France,P020,Product 20
1019.0,10055,2025-03-30,3,47.81,United Kingdom,P008,Product 8
1019.0,10055,2025-03-30,9,46.21,United Kingdom,P021,Product 21
1019.0,10055,2025-03-30,1,53.91,France,P024,Product 24
1019.0,10055,2025-03-30,5,6.64,Germany,P018,Product 18
1019.0,10056,2025-06-10,5,23.21,France,P022,Product 22
1019.0,10056,2025-06-10,9,42.75,Germany,P004,Product 4
1019.0,10057,2025-06-18,1,49.9,France,P014,Product 14
1019.0,10057,2025-06-18,8,55.83,France,P012,Product 12
1019.0,10057,2025-06-18,4,8.37,United Kingdom,P005,Product 5
1019.0,10058,2025-03-18,7,42.75,Germany,P004,Product 4
1019.0,10058,2025-03-18,1,53.91,United Kingdom,P024,Product 24
1019.0,10058,2025-03-18,5,41.93,France,P030,Product 30
1019.0,10058,2025-03-18,8,6.64,Germany,P018,Product 18
1019.0,10059,2025-03-23,7,39.7,France,P013,Product 13
1019.0,10059,2025-03-23,5,11.79,United Kingdom,P029,Product 29
1019.0,10059,2025-03-23,4,47.12,France,P001,Product 1
1019.0,10059,2025-03-23,1,10.3,France,P009,Product 9
1019.0,10060,2025-06-01,1,14.09,Germany,P026,Product 26
1019.0,10060,2025-06-01,9,58.33,United Kingdom,P023,Product 23
1019.0,10061,2025-05-28,6,39.0,United Kingdom,P020,Product 20
1019.0,10062,2025-05-31,7,47.81,France,P008,Product 8
1019.0,10062,2025-05-31,2,41.93,United Kingdom,P030,Product 30
1019.0,10062,2025-05-31,9,53.91,United Kingdom,P024,Product 24
1019.0,10062,2025-05-31,6,47.12,France,P001,Product 1
1020.0,10063,2024-02-17,6,47.37,France,P025,Product 25
1021.0,10064,2025-04-28,7,28.02,France,P002,Product 2
1021.0,10064,2025-04-28,7,46.38,France,P007,Product 7
1021.0,10064,2025-04-28,8,39.0,Germany,P020,Product 20
1021.0,10064,2025-04-28,1,47.37,Germany,P025,Product 25
1022.0,10065,2024-08-21,8,34.61,Germany,P017,Product 17
1022.0,10065,2024-08-21,2,15.95,France,P016,Product 16
1022.0,10065,2024-08-21,7,23.21,United Kingdom,P022,Product 22
1023.0,10066,2024-05-01,1,28.27,United Kingdom,P015,Product 15
1023.0,10066,2024-05-01,6,58.33,United Kingdom,P023,Product 23
1023.0,10066,2024-05-01,1,11.79,United Kingdom,P029,Product 29
1024.0,10067,2025-07-05,1,55.83,France,P012,Product 12
1024.0,10068,2025-05-25,5,6.64,France,P018,Product 18
1024.0,10068,2025-05-25,3,11.79,Germany,P029,Product 29
1024.0,10069,2025-09-26,3,39.7,Germany,P013,Product 13
1024.0,10069,2025-09-26,6,8.37,Germany,P005,Product 5
1024.0,10069,2025-09-26,7,47.81,United Kingdom,P008,Product 8
1025.0,10070,2025-01-13,5,49.9,France,P014,Product 14
1025.0,10071,2025-02-26,1,42.75,United Kingdom,P004,Product 4
1025.0,10071,2025-02-26,6,41.93,Germany,P030,Product 30
1025.0,10071,2025-02-26,8,11.79,Germany,P029,Product 29
1025.0,10071,2025-02-26,4,39.7,Germany,P013,Product 13
1025.0,10072,2025-06-08,2,8.37,France,P005,Product 5
1025.0,10072,2025-06-08,6,39.7,Germany,P013,Product 13
1025.0,10073,2025-02-11,1,28.27,Germany,P015,Product 15
1025.0,10073,2025-02-11,4,39.7,Germany,P013,Product 13
1025.0,10073,2025-02-11,6,47.12,France,P001,Product 1
1025.0,10073,2025-02-11,5,10.3,Germany,P009,Product 9
1025.0,10074,2025-03-31,5,28.67,United Kingdom,P010,Product 10
1025.0,10074,2025-03-31,4,6.64,Germany,P018,Product 18
1025.0,10074,2025-03-31,6,47.81,Germany,P008,Product 8
1025.0,10075,2025-02-18,8,23.21,Germany,P022,Product 22
1025.0,10075,2025-02-18,7,58.33,Germany,P023,Product 23
1025.0,10075,2025-02-18,3,49.9,France,P014,Product 14
1025.0,10075,2025-02-18,3,34.61,United Kingdom,P017,Product 17
1025.0,10076,2025-03-19,8,28.02,France,P002,Product 2
1025.0,10076,2025-03-19,1,49.9,United Kingdom,P014,Product 14
1025.0,10076,2025-03-19,3,42.75,Germany,P004,Product 4
1025.0,10076,2025-03-19,4,24.14,Germany,P011,Product 11
1025.0,10077,2025-01-16,4,28.02,France,P002,Product 2
1025.0,10077,2025-01-16,7,10.3,France,P009,Product 9
1025.0,10077,2025-01-16,4,58.33,Germany,P023,Product 23
1026.0,10078,2025-02-13,1,42.75,France,P004,Product 4
1026.0,10078,2025-02-13,5,24.14,France,P011,Product 11
1026.0,10078,2025-02-13,4,28.27,United Kingdom,P015,Product 15
1026.0,10079,2025-06-04,6,8.37,Germany,P005,Product 5
1026.0,10079,2025-06-04,1,58.33,France,P023,Product 23
1026.0,10079,2025-06-04,2,46.21,France,P021,Product 21
1026.0,10080,2025-04-21,4,23.21,France,P022,Product 22
1026.0,10080,2025-04-21,9,8.37,France,P005,Product 5
1027.0,10081,2025-09-09,3,15.95,United Kingdom,P016,Product 16
1027.0,10081,2025-09-09,8,29.6,France,P027,Product 27
1027.0,10081,2025-09-09,1,8.37,Germany,P005,Product 5
1027.0,10081,2025-09-09,5,50.17,Germany,P019,Product 19
1027.0,10082,2025-11-13,2,28.67,United Kingdom,P010,Product 10
1027.0,10083,2025-11-11,9,58.61,Germany,P006,Product 6
1027.0,10083,2025-11-11,7,46.38,Germany,P007,Product 7
1027.0,10083,2025-11-11,1,28.02,United Kingdom,P002,Product 2
1027.0,10083,2025-11-11,3,6.64,United Kingdom,P018,Product 18
1027.0,10084,2025-10-30,7,53.91,Germany,P024,Product 24
1027.0,10084,2025-10-30,1,39.0,France,P020,Product 20
1027.0,10084,2025-10-30,4,34.61,France,P017,Product 17
1027.0,10084,2025-10-30,5,6.64,France,P018,Product 18
1027.0,10085,2025-07-31,4,58.33,Germany,P023,Product 23
1027.0,10085,2025-07-31,4,28.67,France,P010,Product 10
1027.0,10085,2025-07-31,3,49.9,Germany,P014,Product 14
1027.0,10085,2025-07-31,2,15.95,France,P016,Product 16
1028.0,10086,2024-09-25,6,28.27,Germany,P015,Product 15
1028.0,10086,2024-09-25,4,47.12,United Kingdom,P001,Product 1
1028.0,10086,2024-09-25,1,42.75,Germany,P004,Product 4
1028.0,10086,2024-09-25,3,5.5,United Kingdom,P028,Product 28
1028.0,10087,2024-09-10,9,50.17,France,P019,Product 19
1029.0,10088,2024-09-24,7,47.12,Germany,P001,Product 1
1029.0,10088,2024-09-24,6,39.7,France,P013,Product 13
1029.0,10088,2024-09-24,9,15.95,France,P016,Product 16
1029.0,10089,2024-12-19,3,39.7,France,P013,Product 13
1029.0,10089,2024-12-19,6,58.33,France,P023,Product 23
1029.0,10089,2024-12-19,5,5.5,France,P028,Product 28
1029.0,10089,2024-12-19,1,39.0,United Kingdom,P020,Product 20
1030.0,10090,2025-02-08,1,15.95,France,P016,Product 16
1030.0,10090,2025-02-08,2,39.0,United Kingdom,P020,Product 20
1030.0,10090,2025-02-08,8,5.5,France,P028,Product 28
1030.0,10091,2025-03-23,1,24.14,Germany,P011,Product 11
1030.0,10091,2025-03-23,7,47.12,France,P001,Product 1
1030.0,10091,2025-03-23,5,6.64,France,P018,Product 18
1031.0,10092,2025-08-13,5,55.83,Germany,P012,Product 12
1031.0,10092,2025-08-13,8,53.91,United Kingdom,P024,Product 24
1031.0,10092,2025-08-13,9,46.38,Germany,P007,Product 7
1031.0,10092,2025-08-13,8,51.94,United Kingdom,P003,Product 3
1031.0,10093,2025-06-22,9,55.83,United Kingdom,P012,Product 12
1032.0,10094,2024-08-06,4,39.0,France,P020,Product 20
1032.0,10094,2024-08-06,4,50.17,United Kingdom,P019,Product 19
1032.0,10094,2024-08-06,9,58.33,United Kingdom,P023,Product 23
1032.0,10094,2024-08-06,1,47.12,Germany,P001,Product 1
1032.0,10095,2024-08-29,1,55.83,France,P012,Product 12
1032.0,10095,2024-08-29,4,15.95,France,P016,Product 16
1032.0,10095,2024-08-29,9,5.5,Germany,P028,Product 28
1032.0,10095,2024-08-29,7,47.12,United Kingdom,P001,Product 1
1032.0,10096,2024-08-29,8,15.95,France,P016,Product 16
1032.0,10096,2024-08-29,9,47.37,United Kingdom,P025,Product 25
1033.0,10097,2025-05-04,5,10.3,France,P009,Product 9
1033.0,10098,2025-06-22,1,46.21,France,P021,Product 21
1034.0,10099,2024-09-17,2,28.27,United Kingdom,P015,Product 15
1034.0,10099,2024-09-17,6,50.17,United Kingdom,P019,Product 19
1034.0,10099,2024-09-17,9,5.5,France,P028,Product 28
1034.0,10099,2024-09-17,7,10.3,France,P009,Product 9
1034.0,10100,2024-10-18,5,55.83,France,P012,Product 12
1034.0,10101,2024-08-11,4,8.37,United Kingdom,P005,Product 5
1034.0,10101,2024-08-11,1,28.67,Germany,P010,Product 10
1035.0,10102,2024-06-12,4,5.5,Germany,P028,Product 28
1035.0,10102,2024-06-12,4,39.0,France,P020,Product 20
1036.0,10103,2025-08-30,3,10.3,Germany,P009,Product 9
1036.0,10103,2025-08-30,3,5.5,France,P028,Product 28
1036.0,10103,2025-08-30,9,24.14,United Kingdom,P011,Product 11
1036.0,10104,2025-09-04,8,46.38,United Kingdom,P007,Product 7
1036.0,10104,2025-09-04,3,50.17,United Kingdom,P019,Product 19
1036.0,10104,2025-09-04,2,46.21,United Kingdom,P021,Product 21
1036.0,10104,2025-09-04,4,6.64,France,P018,Product 18
1036.0,10105,2025-06-01,8,34.61,Germany,P017,Product 17
1036.0,10105,2025-06-01,8,28.02,Germany,P002,Product 2
1036.0,10106,2025-08-18,7,6.64,France,P018,Product 18
1036.0,10106,2025-08-18,3,29.6,France,P027,Product 27
1036.0,10106,2025-08-18,5,39.7,United Kingdom,P013,Product 13
1036.0,10106,2025-08-18,2,11.79,Germany,P029,Product 29
1036.0,10107,2025-07-28,6,39.7,United Kingdom,P013,Product 13
1037.0,10108,2025-11-14,9,8.37,France,P005,Product 5
1037.0,10108,2025-11-14,1,28.02,United Kingdom,P002,Product 2
1037.0,10109,2025-06-06,6,47.81,United Kingdom,P008,Product 8
1038.0,10110,2025-09-04,7,11.79,United Kingdom,P029,Product 29
1038.0,10110,2025-09-04,9,14.09,France,P026,Product 26
1038.0,10110,2025-09-04,5,28.02,United Kingdom,P002,Product 2
1038.0,10110,2025-09-04,9,10.3,United Kingdom,P009,Product 9
1038.0,10111,2025-09-11,1,39.7,United Kingdom,P013,Product 13
1038.0,10111,2025-09-11,2,46.38,Germany,P007,Product 7
1039.0,10112,2025-04-29,4,28.27,Germany,P015,Product 15
1039.0,10112,2025-04-29,8,47.12,Germany,P001,Product 1
1039.0,10112,2025-04-29,8,47.81,Germany,P008,Product 8
1040.0,10113,2024-09-04,5,5.5,France,P028,Product 28
1040.0,10114,2024-09-19,3,58.33,France,P023,Product 23
1040.0,10114,2024-09-19,5,46.38,United Kingdom,P007,Product 7
1041.0,10115,2024-12-15,6,8.37,United Kingdom,P005,Product 5
1041.0,10116,2024-11-20,9,47.12,United Kingdom,P001,Product 1
1041.0,10117,2024-09-25,5,8.37,United Kingdom,P005,Product 5
1041.0,10117,2024-09-25,1,58.33,Germany,P023,Product 23
1041.0,10117,2024-09-25,3,47.12,Germany,P001,Product 1
1041.0,10117,2024-09-25,7,58.61,France,P006,Product 6
1042.0,10118,2024-09-23,9,6.64,France,P018,Product 18
1042.0,10118,2024-09-23,3,49.9,United Kingdom,P014,Product 14
1042.0,10118,2024-09-23,3,8.37,France,P005,Product 5
1042.0,10119,2025-01-01,9,11.79,United Kingdom,P029,Product 29
1042.0,10119,2025-01-01,4,50.17,France,P019,Product 19
1042.0,10120,2025-02-16,5,28.67,France,P010,Product 10
1042.0,10121,2024-10-13,3,10.3,France,P009,Product 9
1042.0,10121,2024-10-13,1,15.95,France,P016,Product 16
1042.0,10121,2024-10-13,1,46.38,France,P007,Product 7
1042.0,10122,2024-11-24,6,23.21,France,P022,Product 22
1042.0,10122,2024-11-24,8,47.12,France,P001,Product 1
1043.0,10123,2024-10-21,2,29.6,Germany,P027,Product 27
1043.0,10124,2024-07-23,2,53.91,France,P024,Product 24
1044.0,10125,2025-05-31,1,47.81,Germany,P008,Product 8
1044.0,10125,2025-05-31,9,11.79,Germany,P029,Product 29
1044.0,10125,2025-05-31,6,42.75,Germany,P004,Product 4
1045.0,10126,2024-03-25,1,8.37,Germany,P005,Product 5
1045.0,10126,2024-03-25,6,15.95,United Kingdom,P016,Product 16
1045.0,10126,2024-03-25,3,50.17,Germany,P019,Product 19
1045.0,10126,2024-03-25,6,55.83,France,P012,Product 12
1045.0,10127,2024-08-06,1,47.12,Germany,P001,Product 1
1045.0,10128,2024-04-06,8,14.09,France,P026,Product 26
1045.0,10129,2024-04-23,7,34.61,France,P017,Product 17
1045.0,10129,2024-04-23,5,6.64,France,P018,Product 18
1045.0,10129,2024-04-23,7,58.61,Germany,P006,Product 6
1045.0,10130,2024-04-26,1,39.0,United Kingdom,P020,Product 20
1045.0,10130,2024-04-26,8,8.37,Germany,P005,Product 5
1045.0,10130,2024-04-26,5,5.5,Germany,P028,Product 28
1045.0,10130,2024-04-26,4,39.7,France,P013,Product 13
1045.0,10131,2024-03-25,4,8.37,France,P005,Product 5
1045.0,10131,2024-03-25,3,47.37,United Kingdom,P025,Product 25
1045.0,10131,2024-03-25,7,50.17,United Kingdom,P019,Product 19
1045.0,10131,2024-03-25,9,55.83,France,P012,Product 12
1045.0,10132,2024-09-02,8,46.38,Germany,P007,Product 7
1045.0,10132,2024-09-02,4,58.61,Germany,P006,Product 6
1045.0,10132,2024-09-02,5,28.67,United Kingdom,P010,Product 10
1045.0,10132,2024-09-02,7,28.27,Germany,P015,Product 15
1045.0,10133,2024-07-18,8,6.64,France,P018,Product 18
1045.0,10133,2024-07-18,7,23.21,France,P022,Product 22
1045.0,10133,2024-07-18,8,5.5,France,P028,Product 28
1046.0,10134,2024-10-15,2,49.9,France,P014,Product 14
1046.0,10134,2024-10-15,9,23.21,Germany,P022,Product 22
1047.0,10135,2025-07-17,6,55.83,Germany,P012,Product 12
1047.0,10135,2025-07-17,4,28.67,Germany,P010,Product 10
1047.0,10135,2025-07-17,1,50.17,Germany,P019,Product 19
1047.0,10136,2025-06-21,4,28.02,France,P002,Product 2
1047.0,10136,2025-06-21,2,49.9,United Kingdom,P014,Product 14
1047.0,10136,2025-06-21,2,58.61,United Kingdom,P006,Product 6
1047.0,10136,2025-06-21,7,5.5,United Kingdom,P028,Product 28
1047.0,10137,2025-05-10,7,11.79,United Kingdom,P029,Product 29
1047.0,10138,2025-04-14,7,28.27,Germany,P015,Product 15
1047.0,10139,2025-08-15,9,28.27,United Kingdom,P015,Product 15
1047.0,10139,2025-08-15,5,10.3,Germany,P009,Product 9
1047.0,10140,2025-03-20,1,47.81,United Kingdom,P008,Product 8
1047.0,10140,2025-03-20,5,49.9,United Kingdom,P014,Product 14
1047.0,10141,2025-08-29,7,39.0,Germany,P020,Product 20
1047.0,10142,2025-08-16,3,47.81,United Kingdom,P008,Product 8
1048.0,10143,2024-08-01,9,14.09,Germany,P026,Product 26
1048.0,10143,2024-08-01,1,46.21,Germany,P021,Product 21
1048.0,10143,2024-08-01,2,41.93,France,P030,Product 30
1048.0,10143,2024-08-01,3,42.75,United Kingdom,P004,Product 4
1048.0,10144,2024-09-15,7,51.94,Germany,P003,Product 3
1048.0,10144,2024-09-15,4,47.37,Germany,P025,Product 25
1048.0,10145,2024-09-09,3,51.94,Germany,P003,Product 3
1048.0,10146,2024-07-06,4,14.09,Germany,P026,Product 26
1048.0,10147,2024-09-10,4,46.21,United Kingdom,P021,Product 21
1048.0,10147,2024-09-10,7,14.09,United Kingdom,P026,Product 26
1048.0,10147,2024-09-10,7,10.3,United Kingdom,P009,Product 9
1049.0,10148,2024-07-03,9,46.38,France,P007,Product 7
1049.0,10149,2024-05-09,6,47.81,United Kingdom,P008,Product 8
1049.0,10149,2024-05-09,6,58.61,Germany,P006,Product 6
1049.0,10150,2024-05-02,7,58.61,United Kingdom,P006,Product 6
1049.0,10150,2024-05-02,8,47.81,Germany,P008,Product 8
1049.0,10151,2024-09-25,3,15.95,United Kingdom,P016,Product 16
1049.0,10151,2024-09-25,3,28.67,United Kingdom,P010,Product 10
1049.0,10151,2024-09-25,1,41.93,France,P030,Product 30
1049.0,10152,2024-05-04,5,28.67,Germany,P010,Product 10
1049.0,10152,2024-05-04,5,47.12,France,P001,Product 1
1049.0,10152,2024-05-04,4,15.95,Germany,P016,Product 16
1049.0,10152,2024-05-04,2,23.21,Germany,P022,Product 22
1049.0,10153,2024-05-13,1,11.79,Germany,P029,Product 29
1049.0,10154,2024-09-18,3,8.37,France,P005,Product 5
1049.0,10154,2024-09-18,1,24.14,Germany,P011,Product 11
1049.0,10154,2024-09-18,2,42.75,United Kingdom,P004,Product 4
1049.0,10154,2024-09-18,9,34.61,United Kingdom,P017,Product 17
1049.0,10155,2024-06-17,6,34.61,United Kingdom,P017,Product 17
1049.0,10155,2024-06-17,8,49.9,France,P014,Product 14
1049.0,10155,2024-06-17,2,41.93,France,P030,Product 30
1049.0,10155,2024-06-17,8,51.94,France,P003,Product 3
1050.0,10156,2024-10-11,1,39.0,France,P020,Product 20
1050.0,10156,2024-10-11,6,34.61,Germany,P017,Product 17
1050.0,10156,2024-10-11,1,28.67,France,P010,Product 10
1050.0,10156,2024-10-11,6,47.37,France,P025,Product 25
1051.0,10157,2025-04-29,5,10.3,France,P009,Product 9
1051.0,10157,2025-04-29,3,39.7,United Kingdom,P013,Product 13
1051.0,10157,2025-04-29,8,39.0,United Kingdom,P020,Product 20
1051.0,10158,2025-06-01,2,42.75,France,P004,Product 4
1051.0,10158,2025-06-01,6,53.91,Germany,P024,Product 24
1051.0,10159,2025-05-31,6,5.5,United Kingdom,P028,Product 28
1051.0,10160,2025-06-04,6,46.21,United Kingdom,P021,Product 21
1051.0,10160,2025-06-04,5,28.67,Germany,P010,Product 10
1051.0,10160,2025-06-04,9,49.9,Germany,P014,Product 14
1051.0,10161,2025-05-22,6,8.37,United Kingdom,P005,Product 5
1051.0,10161,2025-05-22,9,51.94,Germany,P003,Product 3
1051.0,10161,2025-05-22,3,46.21,France,P021,Product 21
1051.0,10162,2025-08-03,6,47.81,United Kingdom,P008,Product 8
